Name,RatingValue,DatePublished,Review
El Trompo Taco Bar,3,2019-07-09,Their margaritas are excellent but their tacos aren't as good as they used to be. They are very simple - which isn't a bad thing *if* the few ingredients used standout and are prepared well. The pork was dry and the overall taco was flat - it didn't have the bright acidic flavours or freshness that I love in a taco.  The fish was tender but the chipotle sauce was overwhelming and I couldn't taste much beyond that. The queso fundido with mushrooms and onions was delicious and flavourful - it reminded me of French Onion soup. This place used to have delicious tacos years ago- hopefully I feel the same way about it soon.
Trattoria Nervosa,3,2020-01-11,"A very popular Italian restaurant, but didn't quite live up to the hype.

We came on a hot summer day and it was very crowded. We ended up getting a seat upstairs outside on the balcony, but it was very crowded--both in terms of people and seating space.
The seats were pretty minuscule and packed together. There was barely enough space for us to squeeze between the tables to sit down on the outer seats--despite being on the thinner side myself. My other friends, who chose to sit on the inner side, would definitely not be able to squeeze into the outer seats because they are tall men who also hit the gym--their extra pound of muscles already cut them from sitting here, so I can only imagine the types of people who are regular patrons. 

We got the calamaratato con gamberi, mafalde al funghi, rigatoni bologanese, and risotto nervosa.
The server recommended the calamaratato con gamberi since it was a popular dish with some spiciness, but it was quite lackluster. The dish wasn't spicy at all, granted we're quite accustomed to spicy foods. 
The mafalde al funghi was delicious and creamy with a full bodied flavour. 
The rigatoni bologanese was a very typical pasta that tasted like a deconstructed lasagna--which isn't a bad thing. It felt too commonplace and lackluster for this price point though.
The risotto nervosa was probably the star of the show. The risotto is amazing and creamy and the braised beef pairs well with it. Though I will admit that the beef, when eaten on its own, felt a little dry. 

Perhaps it's because I'm more accustomed to Asian food, but this restaurant felt quite underwhelming and overpriced.
Many of the dishes didn't stand out too much and is quite comparable to what you would find at much lower price points or even store bought. Don't get me wrong, the food was good, but perhaps not worthy of a second visit."
Bar Buca,3,2019-06-16,"Went for the 4-6 aperitivo where you get a token to fill a small plate with food for every alcoholic beverage you order. Love the concept except wish they had some non alcoholic drinks options as well (not everyone drinks!)... you can add $5 if you order a nonalcoholic drink but still want the plate of food. The drinks are all around $15... a little pricey but expected. Although you can get beer for $7. The food was pretty decent, the flatbread and lemon ricotta were my faves. Service was pretty bad though... no one checked on us. And my friend who came late and ordered didn't get her drink until like 20 min later. No one seemed to be at the bar making her drink until we reminded them and no apologies given."
Donatello Restaurant,3,2018-12-02,"Super average food with inflated prices. It's a small place so you have to make reservations even on a week night. 
The veggie pasta that I got (linguine with cream sauce and mushrooms) costed me 20 bucks without tax. The pasta was al dente which I liked but lacked much flavour. The portion size on the other hand was big. 
The calamari was also around $20 but was well cooked. I just wish we got more pieces :( They charred it nicely but by the time it made it to our table it was cold. 
The sever talked super fast but was friendly and happy. Not sure if I will return because I wasn't impressed with anything!"
Asian Legend,1,2017-10-17,"Without question the worst cashew nut chicken I ever unfortunately ordered...
Smaller than most restaurants portions, to top it off; $18.01 for garbage food.
There are many WRONGS in this world; a bad meal is pretty low in the grand scheme of things/life.  BUT; a garbage meal is still a garbage meal.  Staff looked miserable, absolutely unpleasant.  I don't need an ass-kissing or TLC at a fast food Chinese restaurant, this was depressing.  Waste of money, waste of time."
Lee Chen Asian Bistro,4,2019-12-22,"The service was fast, staff was friendly. Their soup wanton was so good I had to get two orders! The soup within the steamed dumpling was complimented beautifully with their pickled ginger & red vinegar! The pork belly bao was interesting since you can construct it yourself, and the flavour of the marinated pork was mouthwatering. However, the menu is very long and the main dishes   are an afterthought compared to their dim sum."
La Marquesita,3,2019-06-03,"The place is a small take away joint near Ryerson University, a one amongst many others serving different cuisines. It is an open seating arrangement with 4 large picnic tables and the food carts around it. It was a nice sunny, windy day, perfect to get some spicy food.  Between the three of us we got

CHICKEN TEQUITA: a deep fried taco with guacamole and chicken. Could have been slightly more spicy. It was well marinated. 

CARNITAS TORTAS: this was delicious, a big CARNITAS loaded sandwich served with some nachos on the side. 

I like my Mexican to be slightly more spicy and a little more tangy, this was alright but I have had better and would keep experimenting till I find the flavor."
La Chingada,3,2020-03-02,"Went last week on Thursday to try their all you can eat Tacos. Nice hand made tortillas. I tried Beef, Carnitas, Pastor and Barbacoa. They were okish, the beef meat wasn't too good. Barbacoa was nice. Very well served with lots of meat. The salsas were in a bottle mild, medium and hot. Not very typical Mexican salsas in terms of flavour and freshness. A friend ordered a slice of Tres leches cake and something was off, the milk on it was not very good tbh so it wasn't eaten. So $19 for all you can eat, 3 tacos first and then one taco at the time. It wasn't completely bad but I doubt I will be back."
Mi Taco Taqueria,3,2018-07-03,"If I ever need a quick fix for Taco's I would probably go back. The tacos were small, small amounts of filling but overall the taste was not bad. You get 3 small Tacos for $10 something. I wish they were a bit bigger and there was more topping options. 

Keep Eating, 
Angela"
Dynasty Chinese Cuisine,3,2017-06-23,"Dim sum in the heart of Yorkville, honestly coming from Richmond Hill (read: right beside Markham!) I wasn't expecting much. I expected average, bland tasting classics like har gow (shrimp dumplings) and siu mai (steamed pork bites wrapped in wonton-like skin). We arrived as a table of 7 on a weekday and the place was fairly empty - understandable, dim sum usually is a longer meal not favoured for a workday lunch hour. We ordered a bit of everything and some of us were looking for specific items - everyone found what they were looking for! There were a decent variety and many classics on the menu - some that aren't often found even in Markham because they're complex to make and don't sell for high prices.

The highlights were the fritter wrapped in rice roll, the osmanthus cake, and the mini octopus in curry sauce. Often the rice rolls are squishy and lack texture, but this one was a good consistency that complemented the crunchy (not chewy!) dough fritter. The osmanthus cake came with a base layer of coconut milk, providing additional flavour and texture that agreed with the table's demands for desserts that're not too sweet but still *something*. We also ordered steamed sponge cake - it was soft and fluffy, steaming hot. The realization the sponge cake was steamed baffled some, and the softness and light flavour was well received. It could've had more of the signature taste, but it was a decent attempt at the classic.

Overall for the location I was pleasantly surprised, and prices were aligned to the area as well. Unfortunately from a dim sum in Toronto perspective, I didn't feel like it was anywhere close to great and it definitely wasn't worth the price paid. Service was good and accommodating to the non-Chinese speakers, but translations were odd and made it more difficult to understand what things were in some cases. I'll be back for team lunches looking for exotic options and a group feeling because we're all at a round table, but aside that I'll stick with my suburb options."
