Name,RatingValue,DatePublished,Review
Swatow Restaurant,4,2019-07-22,"Noods, noods, noods! Swatow has all the noodle options and you can't go wrong with any!

Tried the egg noodles with shrimp wontons and shrimp dumplings. The noodles are chewy, the soup comes out hot and the veggies are cooked to perfection. The wontons are a must!

The majority of the tables were taken the few times we popped in. There's a wait if you don't want a shared table, but doesn't take more than a few minutes since most seem to be in and out and they're very quick with service."
La Chingada,3,2019-09-14,"Good tacos but Seven Lives is still King. Expensive tho, about $70 with 2 drinks and tax and tip. Not sure id be hurrying to go back. 

I'd check out Good Hombres, Gus Taqueria, and Seven Lives first."
MEXITACO,3,2019-11-10,"Been visiting this place since it was on Bloor, so I'm obviously a fan. 

The food is excellent, and continues to be so, with the exception of the guacamole. It's very smooth and soft, not chunky at all. I find it to be overly citrusy, with lack of garlic taste. Reminds me of store bought super bright green guacamole that never seems to go bad . Skip the guac, and just smash an avocado at home. Everything else I've tried here has been great (tacos, tostadas).

The service has never been amazing, but has declined significantly. On my last visit, we weren't given water until 20 minutes after we were seated. Cocktails took a whopping 30 minutes. It felt awkward and kinda embarassing to try to emphatically wave down the uninterested server. After food was brought out, we weren't checked on until, once again, I found myself waving down server for our bill.

Long story short, when I received the bill, I expressed my concern with the service. The explanation honestly pissed me off. They said the service is messed up because they have too many Uber eats orders. I told him you can't have Uber eats impacting your dine in patrons, but apparently you can. We live in a new world where restaurants can probably survive off of online orders. Either way, waiting 20 minutes for water isn't an Uber issue."
Bar Buca,3,2018-08-06,"Bar Buca was on my Bookmark list for brunch for a long time. Their egg skillet pictures impressed me. We didn't come sooner because my husband prefers a simple brunch menu which comes with eggs, bacon, sausage, ham, toast and salad. So, I had waited for a while until today.  

This afternoon I had trouble choosing which restaurant to have brunch at. We decided when it was 2 pm. Luckily, their brunch time is until 4 pm. So, we came to try out their eggs!  

FOOD (3.75/5)

- LA GRANDE COLAZIONE ($16). The dish comes with two hen's eggs, Italian sweet peppers salad (pepronata) and flatbread (tigella) . We saw the picture of the dish with FENNEL SAUSAGES on Yelp. It interested us and we both wanted to try it. However, I couldn't order the same dish as my husband did. I wanted to try something else also. I had a bite though (sigh). The sausage was small. It wasn't enough for two people lol. 

- UOVA CROCCANTI ($14). The dish came with three crispy duck eggs and topped with Buffalo Ricotta (cheese) and Pesto Genovese. The eggs and cheese were very flavourful. If you like cheese, you will love this. I'm not a big fan of buffalo ricotta. I like the taste but the smell was too strong for me. 

DRINK (4/5) 
We had Latte Macchiato ($3.95) and Americano ($2.90). Both were good. We love coffee. 

SERVICE (3/5)
I don't' really want o say that the service is mediocre. There are many reviews say that their services are great. Maybe it wasn't my day. My server was alright. She answered what I asked for but not really what I wanted. It was my first time and I wanted her to explain to us more about the menu and recommend us what the signature dishes are or what the most popular ones. We also don't know Italian! She said something. Short, and that was it! I could catch that those first few items on Salato section were salad and the half on the bottom were egg dishes, I guess. lol, I was disappointed! I was so excited at the beginning becuase I finally had a chance to come to try the brunch menu at Bar Buca. She just turned everything upside down. - -""

OVERALL (3.75/5)
The place was nice. The host was friendly. I love their eggs but I expect a bit more on their egg skillet and their service for the price. Would I come back again? I still want to try other dishes but I am concerned about their service.  We'll see!"
Lee Chen Asian Bistro,1,2019-07-19,"Thought this place would live to the rating but it fell flat, and flavorless. We ordered our food and it literally came in 2 minutes. (Yikes!)

Everything was bland and lacking sauce. Service was nice and welcoming, but the food was just subpar and overpriced. I'd save your money."
Dumpling House Restaurant,3,2019-09-14,"Service was as ok, dumplings are ok (depends) place is kinda gross. 

If you're not picky then this place might have good dumplings for you, just ignore the poor cleanliness of the place then you're good! The plates they use look old, and I question the cleanliness of the stuff they use. I saw a pile of serving plates near the front where they're cooking and I couldn't figure out if it was the dirty pile or the clean pile.

Service is prompt, I've been here a couple of times. My first time was with my s.o., who is white. We pretty much got ignored most of the time, the only time they attended to us was to ask for our order and to pay. 

The second time was with my Chinese friend, she spoke in Mandarin to them and I noticed they actually filled up my water a couple of times, I have no idea if it's cause I went with her.

Now for the dumplings, my friend said that the wrapper they used was too thick for her liking, and she said it made sense since they used dough. I didn't mind but the filling of the dumpling had a gross bitterness to it, and this comes from someone that willingly eats bitter melon. The pan fried one tasted better, but near the end we got sick from eating it cause of the oil, it pooled at the bottom.

The first time I went here, I only got steamed dumplings, I got the mushroom and spinach one and it was tasty. My boyfriend got steamed pork dumplings and he didn't complain, although he seldom does. I definitely think it's a must try but you can only pay in cash so make sure you bring some. If you're with TD, you might need to trek a bit if you want an ATM, otherwise CIBC, RBC and Scotiabank clients are good since the ATMs are in close proximity"
Taverna Mercatto,2,2019-12-19,"This is definitely Italian food for the after-work crowd, a Buca di Beppo-type of experience that didn't leave that much of an impression on my palate. It wasn't that the food was badly executed but rather that the plates were by-the-numbers unmemorable. I was here with the same dozen people I had been with for the previous eight hours, so small talk opportunities had already been exhausted as we sat closely together at a communal table. Because of the size of our party, I was able to try quite a number of their dishes and got a reasonably broad cross-section.

The common adjective connecting the plates was 'bland'. We started with the $14 Calamari Fritti which apparently came with shishito peppers that had disappeared by the time the plate was passed to me (photo: http://bit.ly/35MxgSg). Meh. I did manage to snag one of the overly chilled prawns on the $21 Shrimp Cocktail platter (photo: http://bit.ly/2EE5UBy). Better were the $13 Beets & Burrata with arugula and toasted almonds (photo: http://bit.ly/34Lnhva) and the $12 Greens which added celery hearts for crunch and a drizzle of sherry vinaigrette (photo: http://bit.ly/36TVmKG). The pasta plates were pretty standard issue given the couple of bites I was able to get of each.

The $21 Linguine di Mare was a typical seafood melange with little imagination (photo: http://bit.ly/2PGtJ22), while the $18 Tortiglioni alla Bolognese at least provided meatiness in the veal & pork ragu, but again it was bland and lacked freshness (photo: http://bit.ly/373WnjJ). The three different pizzas disappointed. The $18 Verdure had toppings and a basil pesto that were rather skimpy on the chewy crust (photo: http://bit.ly/38R3Y6R). while the $17 Margherita was just wet (photo: http://bit.ly/2Q1UXzi). Only the $19 Prosciutto was reasonably good with the padano cheese and prosciutto more plentiful (photo: http://bit.ly/34GULe2). 

Dessert came on cutting boards, and they offered a trio of which truthfully I only tried the Tiramisu Cake Roll which was OK (photo: http://bit.ly/2M8ukaH). There was also Chocolate Budino and Cannolo though my colleagues grabbed those pretty quickly (photo: http://bit.ly/36UM69j). My favorite part of the meal? The $14 Pimms Cup with ginger ale, lemon & cucumber, which honestly hit the spot far more than any of the food (photo: http://bit.ly/2SarzJH). Listen, none of us had high hopes for culinary delights here, and even our sponsor admitted this was not her first choice, but the proximity to our hotel just made it so convenient.

FOOD - 2.5 stars...standard issue Italian with few surprises
AMBIANCE - 2 stars...loud and rather packed after work
SERVICE - 2 stars...nothing special 
TOTAL - 2 stars...not worth seeking out unless your expense account covers it

RELATED - Traveling to Toronto? Here's a collection of places I've tried and reviewed: http://bit.ly/2LETSfV"
Dumpling House Restaurant,1,2019-08-18,"TERRIBLE AND EXTREMELY RUDE SERVICE! LEFT DISAPPOINTED WITH THE QUALITY OF FOOD. WOULD NOT RECOMMEND ANYONE TO GO.

My parents and I came here on a Sunday afternoon for lunch. We ordered Singaporean fried rice noodle and the 15 steamed chives, egg, and dry salty fish dumplings for $10.99.

1. Noodles came out first (really small portions) and then they gave us the bill. We were like what??? Where is our second dish? And they were confused. They then realized they forgot our dumplings.

2. Dumplings came and only 14 out of 15 showed up. We let it slide. 

3. Zero eggs and salty fish in the dumplings. ONLY CHIVES 

4. When my parents paid the bill, the waitress got angry at us and asked why we didn't tip ... but we did tip and it was underneath the bills. So we were like ""excuse me??? Did you even look to see?"" She flips it over and sees the tip and then changes her energy completely and starts saying thank you. This woman had the audacity to get angry at customers who she treated so poorly yet actually still tipped. Im actually speechless.

Additionally, if you're asian and you complain about the food they just get pissed right back at you. And they tell you your opinion doesn't matter cause the Caucasian people don't seem to mind. Terrible"
Wilbur Mexicana,5,2019-12-06,"Absolutely the most delicious and fresh Mexican food that is affordable and in a sit down place with great service. I could go on and on and on about how much I love Wilbur. This place ticks all the boxes for me. It's a lowkey place with great food but not too lowkey so you don't have to hold your food in your hand while eating on the sidewalk because they only have room for 2 inside. 

You order at the front and take a table number and they bring your food to you. I've tried their veggie burrito, veggie tacos, chips and salsa and chips and queso. I honestly think you can't go wrong here, everything I've had has been delicious. I would highly recommend their hot sauce bar, you have access to a large variety of hot sauces, and they're even ordered by level of spiciness. What I like to do is a pseudo hot ones challenge with the different hot sauces and tortilla chips. I'd also highly recommend exploring the salsa bar, the ghost pepper salsa is delicious!

The overall vibes of Wilbur makes it a cool place to hang out and its clear a lot of people feel this way because there's normally a line out the door to get in. I'll definitely be revisiting, this is one of my favourite spots in city."
Mariachi’s Restaurant,3,2017-12-09,"It's pretty good Mexican food, and the atmosphere is cute. I sometimes come here for lunch when I am at work. Service is friendly and the food is decent. I've ordered the tacos, nachos and the churros. Can't go wrong."
