Name	RatingValue	DatePublished	Review
Playa Cabana	4	2020-02-26	"I was tasked with finding a spot for a group dinner of eight and landed on Playa Cabana. It was pretty easy to make a reservation via their email system and our table was ready upon arrival. I don't know why I was expecting more of a kitschy Mexican restaurant, but that's not what we got. Instead, it was very intimate and cozy and the service was stellar... We had a great night!

To start, we opted for some guac which was tasty and had a nice little kick to it. To eat, I split the elotes a la parrilla and an order of tacos al pastor with my husband. The soft tacos come in an order of three but you can add on a fourth, so we did that to share evenly. It was the perfect amount of food for us, especially since the tortilla chips kept flowing! The pork in the tacos was seasoned very well. I'm used to the meat being cubed rather than in strips, so this was different but still tasty. They really packed in the filling, so I left super full. 

To sip, we shared pitches of mojitos which were nice and strong... The drink menu was quite lengthy and again, perfect for our group of revelers. 

Mexican in Canada seemed like a risky choice, but this was an ideal meal for us! Would definitely recommend to anyone looking for tacos OR a nice group dinner joint."
Playa Cabana	3	2019-08-04	"Went here with my friends and family. I liked the spice side fillings and their lobster tacos was good I heard. I had the veggie enchiladas and was alright. Even the veggie tostadas was good. However, I feel the food was expensive for the food quality.
We got the 
Nachos  - small but good
Guacamole and chips - good needed some spice 
Chicken wings - so so 
Veggie enchiladas - was so so 
Veggie burrito - good 
Veggie tostados - good
Shrimp enchiladas - was so so 
Lobster tacos - very good 
Fish tacos - very good 
Pork tacos - was so so"
Playa Cabana	3	2019-08-24	"Surprisingly good Flautas! They came as 3 rolls made of a crunchy tortilla containing lots of shredded juicy beef (although I thought it tasted more like pork haha). It all sat in a pool of thick savoury sauce that wasn't overly salty. I also tried their White Wine Sangria, $60 for a pitcher was OK for this citrusy drink with a decent amount of alcohol! 

TIP: if you're celebrating a birthday, let the staff know and they'll surprise the bday person with a hat, song & free slice of a DELICIOUS dulce Leche soaked cake !

Otherwise, the indoor seating space is really tight and the service was subpar."
Playa Cabana	4	2019-06-06	"As a Mexican I always crave authentic Mexican food in Toronto but have difficulties finding it. Playa Cabana is very good and does a an amazing job at keeping things as authentic as possible.

Today at lunch I had the chips and salsa which were yummy. The Playa Burrito with Pork Carnitas was also very good. The green salsa was a bit citrusy but overall very good. I would order it again.

This is definitely a place to come back for some great Mexican food. Staff were also friendly and fast."
Playa Cabana	5	2020-05-25	Best tacos I've ever had. Both locations are great and offer a great selection of Mexican fare.
Playa Cabana	4	2019-08-31	"Food was exceptional and service was pretty fast. It's in a weird location tho only visited because it was about 10 minute walk from the ROM.
Only issues was the seating area was a bit small inside so you feel squished. But they have some more spots outside for when it's a nice day. I recommend to anyone who wants to try real authentic Mexican food. Everything tastes fresh and makes you want to order more."
Playa Cabana	4	2019-04-07	"Their space is a bit cramped, but Playa Cabana makes it work.

I'm a big fan of Mexican and am of the opinion that Toronto is starving of good Mexican food. Playa Cabana, thankfully, does it well.

I had one of their cocktails and found it decent. Food-wise, I had the carnitas burrito, which was also decent.

Next time, I'll take advantage of the all you can eat chips + guac suggestion that others have made!"
Playa Cabana	4	2019-01-16	"Okay, so I found my new favourite Latin spot. I was frequenting the other Playa Cabana on Dundas W - however they changed their menu and all went to hell in my opinion. I recently dined at Playa Cabana and was wow'd. This place really needs 5 stars because the food was AMAZING, but it gets 4 stars because the service was pretty bad. 

It wasn't busy at all when I walked in, maybe 2 tables were full. I kinda already knew what I wanted (who else checks the menu before hand) lol. 

Ordered the short rib tacos because holy hell it sounded amazing, short rib enchiladas (yes, I love short rib) grilled Mexican corn, the tres leche cake & Churros. Relax, relax, I wasn't alone. The tacos were delicious, please please don't change the menu! I have to say the Enchiladas were my favourite. The beans had so much flavour, the sauces were perfect & the combination of all the flavours with the extra sauces on the table made my life complete! The grilled corn was okay, but nothing special. 

Moving on to the highlight - Dessert! Wow! The Churros were actually fucking amazing. So crunchy, so much sugar. The cake was nothing like I've tasted, so moist and light. I could have eaten 3 slices! 

PLEASE DO NOT CHANGE THE MENU! I will be back! 

Keep Eating, 
Angela"
Playa Cabana	4	2019-12-12	Went last week. Food is very good! Churros were amazing  and drinks are made with fair amount of alcohol compared to other places. Friendly staff! Would recommended! Make sure to make reservations as it is a very very cozy place. Unless you don't mind sitting at the bar, as I did.
Playa Cabana	4	2019-01-12	"Yes all day er'rday to their chips -- they make a fresh batch each day! No pic of that here since we ate them so fast along with the fresh red salsa.

The Baja fried fish tacos were delicious... I don't even really like fish (unless we're talking about specific sushi rolls) but I gobbled these tacos up. 

I'm looking forward to trying the other locations as I think the menus differ slightly. Nice place!"
